,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.16,0.9999999999769713,-0.0,-0.0
0.161,0.9999999999769713,-0.0,-0.0
0.162,0.9999999999769713,-0.0,-0.0
0.163,0.9999999999769713,-0.0,-0.0
0.164,0.9999999999769713,-0.0,-0.0
0.165,0.9999999999769713,-0.0,-0.0
0.166,0.9999999999769713,-0.0,-0.0
0.167,0.9999999999769713,-0.0,-0.0
0.168,0.9999999999769713,-0.0,-0.0
0.169,0.9999999999769713,-0.0,-0.0
0.17,0.9999999999769713,-0.0,-0.0
0.171,0.9999999999769713,-0.0,-0.0
0.172,0.9999999999769713,-0.0,-0.0
0.173,0.9999999999769713,-0.0,-0.0
0.174,0.9999999999769713,-0.0,-0.0
0.175,0.9999999999769713,-0.0,-0.0
0.176,0.9999999999769713,-0.0,-0.0
0.177,0.9999999999769713,-0.0,-0.0
0.178,0.9999999999769713,-0.0,-0.0
0.179,0.9999999999769713,-0.0,-0.0
0.18,0.9999999999769713,-0.0,-0.0
0.181,0.9999999999769713,-0.0,-0.0
0.182,0.9999999999769713,-0.0,-0.0
0.183,0.9999999999769713,-0.0,-0.0
0.184,0.9999999999769713,-0.0,-0.0
0.185,0.9999999999769713,-0.0,-0.0
0.186,0.9999999999769713,-0.0,-0.0
0.187,0.9999999999769713,-0.0,-0.0
0.188,0.9999999999769713,-0.0,-0.0
0.189,0.9999999999769713,-0.0,-0.0
0.19,0.9999999999769713,-0.0,-0.0
0.191,0.9999999999769713,-0.0,-0.0
0.192,0.9999999999769713,-0.0,-0.0
0.193,0.9999999999769713,-0.0,-0.0
0.194,0.9999999999769713,-0.0,-0.0
0.195,0.9999999999769713,-0.0,-0.0
0.196,0.9999999999769713,-0.0,-0.0
0.197,0.9999999999769713,-0.0,-0.0
0.198,0.9999999999769713,-0.0,-0.0
0.199,0.9999999999769713,-0.0,-0.0
0.2,0.999999999981767,182.66666666666663,-91.33333333333333
0.201,0.9999999999817919,183.61350000000004,-91.80675000000002
0.202,0.9999999999818167,184.5606666666667,-92.28033333333335
0.203,0.9999999999818415,185.5081666666667,-92.75408333333334
0.204,0.9999999999818665,186.45600000000002,-93.22800000000001
0.205,0.9999999999818915,187.40416666666667,-93.70208333333332
0.206,0.9999999999819164,188.35266666666666,-94.17633333333333
0.207,0.9999999999819411,189.30149999999998,-94.65075
0.208,0.999999999981966,190.25066666666672,-95.12533333333336
0.209,0.999999999981991,191.20016666666672,-95.60008333333334
0.21,0.999999999982016,192.14999999999998,-96.07499999999999
0.211,0.999999999982041,193.10016666666667,-96.55008333333333
0.212,0.9999999999820659,194.0506666666667,-97.02533333333334
0.213,0.9999999999820909,195.00150000000002,-97.50075000000001
0.214,0.9999999999821159,195.95266666666672,-97.97633333333334
0.215,0.9999999999821407,196.90416666666667,-98.45208333333333
0.216,0.9999999999821657,197.856,-98.928
0.217,0.9999999999821908,198.8081666666667,-99.40408333333335
0.218,0.9999999999822158,199.76066666666668,-99.88033333333334
0.219,0.9999999999822407,200.71349999999995,-100.35674999999998
0.22,0.9999999999822657,201.66666666666669,-100.83333333333334
0.221,0.9999999999822909,202.6201666666667,-101.31008333333335
0.222,0.9999999999823158,203.574,-101.787
0.223,0.999999999982341,204.5281666666667,-102.26408333333335
0.224,0.9999999999823658,205.48266666666666,-102.74133333333333
0.225,0.9999999999823911,206.4375,-103.21874999999997
0.226,0.9999999999824161,207.39266666666668,-103.69633333333334
0.227,0.9999999999824414,208.3481666666667,-104.17408333333331
0.228,0.9999999999824664,209.304,-104.652
