t, Iteration, LoadMultiplier, Mode, LoadModel, Storage2Model,  Qnominalperphase, Pnominalperphase, CurrentType, |Iinj1|, |Iinj2|, |Iinj3|, |Iterm1|, |Iterm2|, |Iterm3|, |Vterm1|, |Vterm2|, |Vterm3|, kWh, State, kWOut, kWIn, kvarOut, DCkW, kWTotalLosses, kWInvLosses, kWIdlingLosses, kWChDchLosses, kWh Chng, InvEff, InverterON, Vref, Vavg (DRC), VV Oper, VW Oper, DRC Oper, VV_DRC Oper, kWDesired, kW VW Limit, Limit kWOut Function, kVA Exceeded,Vthev, Theta
7, 2, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
8, 1, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
8, 2, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
9, 1, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
9, 2, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
10, 1, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
10, 2, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
11, 1, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
11, 2, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
12, 1, 1, Daily, PowerFlow, 1,     0.00,    -0.00, Injection,      0.6,      0.6,      0.6,      0.6,      0.6,      0.6,    277.1,    277.1,    277.1, 428.200272821425, 0, 0, 0.5, -1.4210854715202E-017, -0.5, 0.5, 0, 0.5, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 0, 9999, 50, 0, 
