,Voltage (pu),3ph Active Power (kW),3ph Reactive Power (kvar)
0.0,0.9999999999769713,-0.0,-0.0
0.001,0.9999999999770174,0.8801666666666665,-0.0
0.002,0.9999999999770636,1.7606666666666664,-0.0
0.003,0.9999999999771099,2.6415,-0.0
0.004,0.9999999999771563,3.5226666666666677,-0.0
0.005,0.9999999999772023,4.404166666666667,-3.1763735522036263e-25
0.006,0.9999999999772486,5.286,-0.0
0.007,0.999999999977295,6.168166666666665,-0.0
0.008,0.9999999999773413,7.050666666666667,-6.352747104407253e-25
0.009,0.9999999999773875,7.9335,3.1763735522036263e-25
0.01,0.9999999999774342,8.816666666666666,6.352747104407253e-25
0.011,0.9999999999774805,9.700166666666666,-0.0
0.012,0.9999999999617739,10.584,-300.0
0.013,0.9999999999618202,11.468166666666667,-300.0
0.014,0.9999999999618666,12.352666666666668,-299.99999999999994
0.015,0.9999999999619132,13.237500000000004,-300.0
0.016,0.9999999999619597,14.122666666666667,-300.0
0.017,0.999999999962006,15.008166666666668,-300.0
0.018,0.9999999999620527,15.893999999999998,-300.0
0.019,0.9999999999620991,16.780166666666673,-300.00000000000006
0.02,0.9999999999621457,17.666666666666664,-300.0
0.021,0.9999999999621922,18.553500000000003,-300.00000000000006
0.022,0.999999999962239,19.440666666666665,-299.99999999999994
0.023,0.9999999999622856,20.328166666666668,-300.0
0.024,0.9999999999623322,21.216,-299.99999999999994
0.025,0.9999999999623788,22.104166666666668,-300.00000000000006
0.026,0.9999999999624253,22.992666666666665,-300.0
0.027,0.9999999999624724,23.881500000000003,-299.99999999999994
0.028,0.9999999999625188,24.77066666666667,-300.0
0.029,0.9999999999625654,25.66016666666667,-299.99999999999994
0.03,0.9999999999626122,26.549999999999997,-300.0
0.031,0.9999999999626589,27.44016666666667,-299.99999999999994
0.032,0.9999999999627056,28.330666666666666,-300.0
0.033,0.9999999999627526,29.221500000000002,-300.0
0.034,0.9999999999627994,30.112666666666676,-299.99999999999994
0.035,0.999999999962846,31.004166666666666,-300.0
0.036,0.9999999999628929,31.896,-300.0
0.037,0.9999999999629396,32.78816666666667,-300.00000000000006
0.038,0.9999999999629865,33.68066666666667,-300.0
0.039,0.9999999999630333,34.573499999999996,-299.99999999999994
0.04,0.9999999999630804,35.466666666666676,-300.0
0.041,0.9999999999631274,36.36016666666667,-300.0
0.042,0.9999999999631742,37.254,-300.00000000000006
0.043,0.9999999999632211,38.14816666666667,-300.00000000000006
0.044,0.9999999999632682,39.04266666666666,-300.0
0.045,0.9999999999633151,39.9375,-300.0
