Hour, Sec, ControlIteration, Iterations, LoadMultiplier, Present Tap, Pending Change, Actual Change, Increment, Min Tap, Max Tap
+++ 0 s: Handling TapChange = -0.0125
3, 0.000, 1, 2,   1.00,  1.00000, -0.01250, -0.00625,  0.00625,  0.90000,  1.10000
+++ 0 s: Handling TapChange = 0.0125
42, 0.000, 1, 3,   1.00,  0.99375,  0.01250,  0.00625,  0.00625,  0.90000,  1.10000
+++ 0 s: Handling TapChange = 0.0125
80, 0.000, 1, 3,   1.00,  1.00000,  0.01250,  0.00625,  0.00625,  0.90000,  1.10000
